Ward,Searches,Searches which got estimate,Searches for Quotes,Searches which got Quotes,Bookings,Completed Trips,Search-to-estimate Rate,Estimate-to-search for quotes Rate,Quote Acceptance Rate,Quote-to-booking Rate,Cancelled Bookings,Booking Cancellation Rate,Conversion Rate,Drivers' Earnings,Average Distance per Trip (km),Average Fare per Trip,Distance Travelled (km)
Sir M. Vishweshwaraiah,"74,819","73,812","49,291","43,629","42,432","30,505",98.70%,66.80%,88.50%,97.30%,"11,922",28.10%,40.80%,"₹43,62,039",8.2,₹139.93,"2,60,318"
Thanisandra,"92,185","91,288","65,943","47,992","46,678","30,228",99.00%,72.20%,72.80%,97.30%,"16,443",35.20%,32.80%,"₹50,91,283",10.1,₹175.66,"3,01,039"
K R Puram,"1,46,325","1,44,634","1,07,199","53,930","52,958","30,142",98.80%,74.10%,50.30%,98.20%,"22,805",43.10%,20.60%,"₹49,40,785",8.6,₹153.84,"2,87,150"
Kanneshwara Rama,"83,098","82,131","60,667","45,321","44,265","29,519",98.80%,73.90%,74.70%,97.70%,"14,741",33.30%,35.50%,"₹39,51,875",7.1,₹124.34,"2,29,942"
Nalvadi Krishnaraja Wadior Park,"73,869","72,867","47,739","42,542","41,287","29,315",98.60%,65.50%,89.10%,97.00%,"11,972",29.00%,39.70%,"₹43,45,593",8.4,₹143.50,"2,59,489"
Mattikere,"78,783","77,741","55,627","44,258","43,130","29,188",98.70%,71.60%,79.60%,97.50%,"13,935",32.30%,37.00%,"₹37,46,354",7.2,₹127.02,"2,16,014"
Kuvempunagar,"90,387","89,306","64,030","45,886","44,478","28,979",98.80%,71.70%,71.70%,96.90%,"15,499",34.80%,32.10%,"₹44,71,071",9.5,₹160.42,"2,66,162"
Someshwara Nagar,"1,25,282","1,24,124","99,004","50,597","49,710","28,414",99.10%,79.80%,51.10%,98.20%,"21,284",42.80%,22.70%,"₹42,11,430",8.2,₹145.35,"2,44,246"
Someshwara Ward,"82,551","81,630","55,831","43,852","42,806","28,339",98.90%,68.40%,78.50%,97.60%,"14,463",33.80%,34.30%,"₹51,13,223",12.1,₹199.73,"3,08,353"
Ramaswamy Palya,"89,659","88,909","73,882","42,573","41,665","28,161",99.20%,83.10%,57.60%,97.90%,"13,498",32.40%,31.40%,"₹34,33,055",6.3,₹116.94,"1,93,381"
Basavanapura,"1,30,772","1,29,049","98,474","46,391","45,424","27,525",98.70%,76.30%,47.10%,97.90%,"17,898",39.40%,21.10%,"₹50,30,776",9.7,₹167.75,"2,96,487"
HAL Airport,"1,34,812","1,32,776","1,08,348","44,480","43,681","27,294",98.50%,81.60%,41.00%,98.20%,"16,383",37.50%,20.30%,"₹44,53,140",8.6,₹152.85,"2,56,879"
Vikram Nagar,"75,967","74,954","55,656","40,728","39,435","27,126",98.70%,74.30%,73.20%,96.80%,"12,304",31.20%,35.70%,"₹35,57,317",6.6,₹118.22,"2,04,492"
Vishwanath Nagenahalli,"89,832","89,003","68,777","41,979","41,249","26,720",99.10%,77.30%,61.00%,98.30%,"14,522",35.20%,29.70%,"₹37,77,718",7.6,₹137.27,"2,17,639"
Gottigere,"77,444","76,415","54,110","40,226","39,254","26,597",98.70%,70.80%,74.30%,97.60%,"12,655",32.20%,34.30%,"₹42,49,332",9.3,₹160.47,"2,48,994"
Hanumanth Nagar,"68,509","67,604","47,910","38,165","36,982","26,564",98.70%,70.90%,79.70%,96.90%,"10,411",28.10%,38.80%,"₹31,45,427",5.9,₹106.97,"1,80,141"
Okalipuram,"86,712","85,268","65,465","48,026","47,226","26,484",98.30%,76.80%,73.40%,98.30%,"20,730",43.90%,30.50%,"₹37,81,789",7.3,₹131.94,"2,13,667"
Bande Mutt,"93,524","91,980","57,412","41,498","40,413","26,235",98.40%,62.40%,72.30%,97.40%,"14,172",35.10%,28.10%,"₹39,69,011",9.4,₹157.74,"2,35,438"
Rajamahal Guttahalli,"72,233","71,178","54,715","38,189","37,294","26,075",98.50%,76.90%,69.80%,97.70%,"11,216",30.10%,36.10%,"₹32,28,237",6.9,₹124.57,"1,84,748"
Dodda Bommasandra,"79,641","78,694","56,802","39,936","39,071","25,789",98.80%,72.20%,70.30%,97.80%,"13,279",34.00%,32.40%,"₹37,93,737",9.2,₹156.40,"2,23,677"
Srinagar,"63,770","62,777","44,199","36,667","35,634","25,548",98.40%,70.40%,83.00%,97.20%,"10,078",28.30%,40.10%,"₹31,50,182",6.7,₹117.57,"1,82,497"
Sriramamandir,"63,977","62,879","44,286","37,117","36,259","25,518",98.30%,70.40%,83.80%,97.70%,"10,735",29.60%,39.90%,"₹32,40,052",7.6,₹131.05,"1,89,077"
Tilak Nagar,"1,07,927","1,06,816","88,033","44,757","43,573","25,512",99.00%,82.40%,50.80%,97.40%,"18,052",41.40%,23.60%,"₹31,66,169",7.1,₹130.86,"1,76,655"
Kengeri,"69,009","68,201","43,004","35,651","34,626","24,142",98.80%,63.10%,82.90%,97.10%,"10,483",30.30%,35.00%,"₹37,92,855",9.1,₹154.65,"2,27,175"
Hosakerehalli,"69,162","68,353","48,656","38,909","37,698","24,060",98.80%,71.20%,80.00%,96.90%,"13,636",36.20%,34.80%,"₹30,84,004",6.8,₹119.49,"1,79,054"
Ullal,"62,985","62,161","40,215","34,742","33,623","23,818",98.70%,64.70%,86.40%,96.80%,"9,801",29.10%,37.80%,"₹37,95,256",9.4,₹158.26,"2,28,853"
Manorayanapalya,"81,634","80,842","61,554","38,553","37,437","23,816",99.00%,76.10%,62.60%,97.10%,"13,613",36.40%,29.20%,"₹33,41,559",7.2,₹129.34,"1,91,828"
Chokkasandra,"86,127","85,438","65,156","42,406","41,530","23,724",99.20%,76.30%,65.10%,97.90%,"17,804",42.90%,27.60%,"₹24,68,632",4.7,₹89.76,"1,36,683"
Mangammanapalya,"1,02,492","1,00,951","81,001","42,681","41,647","23,665",98.50%,80.20%,52.70%,97.60%,"17,972",43.10%,23.10%,"₹35,94,950",8.6,₹154.94,"2,04,336"
Hampi Nagar,"58,675","57,821","39,821","34,585","33,364","23,484",98.50%,68.90%,86.90%,96.50%,"9,871",29.60%,40.00%,"₹30,71,151",6.9,₹120.28,"1,78,886"
Kamakya Nagar,"69,063","68,128","51,042","35,716","34,839","23,346",98.70%,74.90%,70.00%,97.50%,"11,491",33.00%,33.80%,"₹28,95,035",6.2,₹113.81,"1,65,218"
Naganathapura,"1,09,949","1,08,247","83,696","40,656","39,872","23,175",98.50%,77.30%,48.60%,98.10%,"16,695",41.90%,21.10%,"₹44,67,346",12,₹204.91,"2,64,459"
Marappana Palya,"72,426","71,362","44,875","36,430","35,557","22,985",98.50%,62.90%,81.20%,97.60%,"12,569",35.40%,31.70%,"₹30,09,173",7.2,₹127.13,"1,73,526"
Doddagollarahatti,"62,650","61,721","38,234","33,205","32,333","22,910",98.50%,61.90%,86.90%,97.40%,"9,416",29.10%,36.60%,"₹37,78,154",9.3,₹156.49,"2,29,329"
Nagarabhavi,"55,903","55,168","38,047","33,115","32,232","22,745",98.70%,69.00%,87.00%,97.30%,"9,481",29.40%,40.70%,"₹32,07,697",7.5,₹129.72,"1,89,712"
Vidyapeeta ward,"62,025","61,115","45,396","34,612","33,756","22,623",98.50%,74.30%,76.20%,97.50%,"11,126",33.00%,36.50%,"₹26,84,699",6.6,₹118.75,"1,52,576"
J P Park,"65,974","65,155","47,131","33,934","33,052","22,142",98.80%,72.30%,72.00%,97.40%,"10,906",33.00%,33.60%,"₹30,15,650",7.1,₹127.43,"1,75,948"
Marenahalli,"52,708","51,972","34,818","31,171","30,332","21,875",98.60%,67.00%,89.50%,97.30%,"8,451",27.90%,41.50%,"₹26,55,680",6.4,₹115.30,"1,53,332"
Atturu Layout,"66,251","65,344","43,535","33,470","32,587","21,819",98.60%,66.60%,76.90%,97.40%,"10,765",33.00%,32.90%,"₹37,76,030",10.2,₹172.60,"2,26,779"
T Dasarahalli,"67,550","66,804","46,585","35,894","35,049","21,562",98.90%,69.70%,77.00%,97.60%,"13,473",38.40%,31.90%,"₹25,41,501",6.5,₹116.10,"1,44,400"
Dr. Raj Kumar Ward,"54,949","54,132","37,466","31,248","30,418","21,076",98.50%,69.20%,83.40%,97.30%,"9,333",30.70%,38.40%,"₹27,10,930",7.6,₹132.82,"1,56,611"
Jaraganahalli,"68,801","67,886","52,789","35,280","34,284","21,026",98.70%,77.80%,66.80%,97.20%,"13,254",38.70%,30.60%,"₹24,37,670",6.6,₹120.17,"1,36,519"
Chamundi Nagara,"62,952","62,383","47,014","31,965","31,317","20,693",99.10%,75.40%,68.00%,98.00%,"10,622",33.90%,32.90%,"₹26,60,564",6.5,₹120.12,"1,50,927"
Gali Anjenaya Temple ward,"62,179","61,309","39,236","32,515","31,896","20,223",98.60%,64.00%,82.90%,98.10%,"11,665",36.60%,32.50%,"₹30,17,078",7.4,₹132,"1,73,585"
Chickpete,"1,05,571","1,03,728","84,004","53,094","52,245","20,074",98.30%,81.00%,63.20%,98.40%,"32,160",61.60%,19.00%,"₹33,53,052",9.4,₹162.70,"1,98,645"
Bommanahalli,"1,02,282","1,00,881","81,529","34,682","33,971","19,725",98.60%,80.80%,42.50%,97.90%,"14,236",41.90%,19.30%,"₹27,78,496",8.2,₹144.92,"1,57,092"
Rajaji Nagar,"49,507","48,743","32,244","28,085","27,372","19,360",98.50%,66.20%,87.10%,97.50%,"8,006",29.30%,39.10%,"₹25,03,973",7.1,₹126.23,"1,45,133"
Defence Colony,"66,367","65,700","45,857","33,389","32,785","19,264",99.00%,69.80%,72.80%,98.20%,"13,507",41.20%,29.00%,"₹23,36,686",6.1,₹112.74,"1,34,057"
Vannarapete,"60,492","59,890","48,220","29,228","28,584","19,097",99.00%,80.50%,60.60%,97.80%,"9,485",33.20%,31.60%,"₹23,69,590",7.1,₹129.16,"1,33,576"
Chanakya,"66,463","65,318","39,693","31,402","30,177","18,668",98.30%,60.80%,79.10%,96.10%,"11,506",38.10%,28.10%,"₹27,22,795",8.1,₹139.49,"1,58,268"
Gayithri Nagar,"48,009","47,207","31,850","26,643","26,045","18,479",98.30%,67.50%,83.70%,97.80%,"7,559",29.00%,38.50%,"₹22,49,953",7.1,₹123.63,"1,29,777"
Srinivasa Nagar,"46,317","45,773","31,396","25,880","25,250","18,457",98.80%,68.60%,82.40%,97.60%,"6,791",26.90%,39.90%,"₹21,91,904",7.1,₹123.96,"1,26,136"
Vijayanagara Krishnadevaraya,"50,316","49,702","32,283","27,865","27,097","18,329",98.80%,65.00%,86.30%,97.20%,"8,763",32.30%,36.40%,"₹24,58,756",7.2,₹125.80,"1,45,116"
Kammanahalli,"65,614","65,001","51,552","31,281","30,735","18,249",99.10%,79.30%,60.70%,98.30%,"12,477",40.60%,27.80%,"₹24,98,252",7.5,₹133.55,"1,42,805"
Agaram,"89,375","88,315","72,145","31,023","30,434","18,106",98.80%,81.70%,43.00%,98.10%,"12,322",40.50%,20.30%,"₹24,55,722",7.4,₹137.38,"1,37,046"
Kushal Nagar,"60,735","60,229","47,213","28,693","28,290","17,598",99.20%,78.40%,60.80%,98.60%,"10,688",37.80%,29.00%,"₹22,58,532",7.4,₹131.98,"1,28,532"
Kammagondanahalli,"54,207","53,590","37,745","26,629","26,052","17,428",98.90%,70.40%,70.50%,97.80%,"8,625",33.10%,32.10%,"₹27,30,659",8.3,₹142.27,"1,62,765"
Yelachenahalli,"57,932","57,152","42,633","29,316","28,651","16,915",98.70%,74.60%,68.80%,97.70%,"11,729",40.90%,29.20%,"₹21,58,366",7.1,₹127.25,"1,23,031"
Shivanagara,"40,242","39,645","26,924","23,534","22,985","16,748",98.50%,67.90%,87.40%,97.70%,"6,233",27.10%,41.60%,"₹20,89,995",7,₹125.77,"1,21,165"
Vijinapura,"73,764","72,986","56,646","28,211","27,763","16,737",99.00%,77.60%,49.80%,98.40%,"11,022",39.70%,22.70%,"₹24,54,512",7.7,₹138.85,"1,40,398"
Veerabhadranagar,"49,885","49,279","34,613","26,965","26,273","16,735",98.80%,70.20%,77.90%,97.40%,"9,531",36.30%,33.60%,"₹19,07,548",6.8,₹120.33,"1,08,689"
Deen Dayalu Ward,"53,258","52,643","36,460","27,068","26,321","16,695",98.90%,69.30%,74.20%,97.20%,"9,623",36.60%,31.40%,"₹20,79,501",6.3,₹111.91,"1,19,319"
Basaveshwara Nagar,"37,235","36,552","24,982","22,779","22,141","16,503",98.20%,68.30%,91.20%,97.20%,"5,633",25.40%,44.30%,"₹20,80,952",7.1,₹121.94,"1,21,841"
Mahalakshimpuram,"40,817","40,155","27,344","23,844","23,296","16,391",98.40%,68.10%,87.20%,97.70%,"6,897",29.60%,40.20%,"₹20,55,456",7.1,₹124.32,"1,19,406"
Peenya,"55,621","54,845","38,018","27,949","27,306","15,925",98.60%,69.30%,73.50%,97.70%,"11,373",41.60%,28.60%,"₹21,50,145",8.6,₹146.51,"1,26,379"
Vidyamanyanagar,"47,702","47,082","29,734","24,610","23,579","15,833",98.70%,63.20%,82.80%,95.80%,"7,744",32.80%,33.20%,"₹25,46,832",8.5,₹143.82,"1,53,873"
Maruthi Mandir ward,"37,737","37,224","24,753","22,228","21,481","15,688",98.60%,66.50%,89.80%,96.60%,"5,787",26.90%,41.60%,"₹21,02,735",7,₹124.80,"1,23,066"
Govindaraja Nagar,"35,720","35,157","23,157","21,286","20,719","15,637",98.40%,65.90%,91.90%,97.30%,"5,081",24.50%,43.80%,"₹20,46,473",8.1,₹138.85,"1,20,105"
Bharathi Nagar,"62,918","62,275","50,939","28,258","27,890","15,319",99.00%,81.80%,55.50%,98.70%,"12,561",45.00%,24.30%,"₹19,66,112",7.5,₹137.23,"1,10,378"
Chowdeswari Ward,"56,345","55,247","36,893","25,754","24,974","15,258",98.00%,66.80%,69.80%,97.00%,"9,712",38.90%,27.10%,"₹31,67,576",11,₹183.46,"1,93,541"
Kamakshipalya,"36,054","35,488","23,306","21,181","20,736","15,154",98.40%,65.70%,90.90%,97.90%,"5,580",26.90%,42.00%,"₹19,92,539",6.6,₹116.08,"1,17,008"
Kadugondanahalli,"52,376","51,969","39,837","24,864","24,381","14,743",99.20%,76.70%,62.40%,98.10%,"9,634",39.50%,28.10%,"₹19,28,570",6.1,₹114.06,"1,09,573"
Sagayarapuram,"56,119","55,619","45,183","25,085","24,764","14,733",99.10%,81.20%,55.50%,98.70%,"10,022",40.50%,26.30%,"₹17,84,045",7.5,₹135.70,"99,060"
Avalahalli,"41,210","40,616","28,527","23,146","22,461","14,655",98.60%,70.20%,81.10%,97.00%,"7,798",34.70%,35.60%,"₹19,83,794",7.1,₹124.91,"1,14,831"
Banashankari Temple ward,"52,841","52,172","36,951","24,645","24,118","14,126",98.70%,70.80%,66.70%,97.90%,"9,987",41.40%,26.70%,"₹15,32,629",5.8,₹108.11,"84,624"
Shankar Matt,"34,066","33,514","22,360","19,867","19,301","13,609",98.40%,66.70%,88.80%,97.20%,"5,690",29.50%,40.00%,"₹17,03,753",6.5,₹115.80,"99,481"
Hosahalli,"34,380","33,868","23,301","20,124","19,480","13,552",98.50%,68.80%,86.40%,96.80%,"5,928",30.40%,39.40%,"₹17,68,225",7.2,₹124.58,"1,03,505"
Kadugodi,"71,383","69,948","51,487","23,491","22,893","13,402",98.00%,73.60%,45.60%,97.50%,"9,488",41.40%,18.80%,"₹27,11,566",11.1,₹189.73,"1,61,844"
Bagalakunte,"46,611","46,162","30,863","21,479","21,022","13,241",99.00%,66.90%,69.60%,97.90%,"7,773",37.00%,28.40%,"₹17,84,009",7.8,₹137.20,"1,04,402"
Nelagadderanahalli,"42,339","41,842","31,162","20,497","20,019","12,514",98.80%,74.50%,65.80%,97.70%,"7,503",37.50%,29.60%,"₹17,06,553",6.9,₹119.77,"1,00,602"
Vijayanagar,"33,585","33,144","22,716","18,536","18,021","12,227",98.70%,68.50%,81.60%,97.20%,"5,789",32.10%,36.40%,"₹13,78,682",6.7,₹117.81,"78,031"
Dodda Bidarakallu,"46,817","46,118","29,558","20,582","19,924","12,016",98.50%,64.10%,69.60%,96.80%,"7,905",39.70%,25.70%,"₹19,81,012",9.7,₹160.68,"1,19,614"
Prakash Nagar,"31,680","31,240","21,504","18,050","17,612","11,883",98.60%,68.80%,83.90%,97.60%,"5,726",32.50%,37.50%,"₹14,28,345",5.8,₹106.77,"81,508"
Shakthi Ganapathi Nagar,"28,404","28,027","18,358","16,589","16,159","11,738",98.70%,65.50%,90.40%,97.40%,"4,411",27.30%,41.30%,"₹15,11,742",7.8,₹133.40,"88,770"
Chandra Layout,"30,463","30,128","20,480","17,011","16,580","11,183",98.90%,68.00%,83.10%,97.50%,"5,394",32.50%,36.70%,"₹14,42,155",7.4,₹128.25,"83,938"
Puneet Rajkumar,"29,323","28,876","19,221","16,614","16,178","11,036",98.50%,66.60%,86.40%,97.40%,"5,140",31.80%,37.60%,"₹13,35,987",7.2,₹124.46,"77,505"
Agrahara Dasarahalli,"27,404","26,913","16,820","15,289","14,938","10,952",98.20%,62.50%,90.90%,97.70%,"3,983",26.70%,40.00%,"₹14,71,133",7.7,₹130.96,"86,391"
Herohalli,"29,722","29,370","18,118","16,213","15,731","10,767",98.80%,61.70%,89.50%,97.00%,"4,965",31.60%,36.20%,"₹16,29,652",8.4,₹143.27,"97,723"
Nandini Layout,"27,435","27,098","18,337","15,711","15,374","10,548",98.80%,67.70%,85.70%,97.90%,"4,821",31.40%,38.50%,"₹13,25,029",7.1,₹123.13,"77,431"
Binnipete,"36,199","35,693","26,335","18,496","18,165","10,290",98.60%,73.80%,70.20%,98.20%,"7,871",43.30%,28.40%,"₹13,35,432",7.9,₹138.39,"76,917"
Hongasandra,"43,868","43,290","34,483","17,037","16,684","9,792",98.70%,79.70%,49.40%,97.90%,"6,891",41.30%,22.30%,"₹14,35,206",8.7,₹152.94,"82,139"
Rajagopal Nagar,"30,530","30,068","21,509","15,530","15,132","9,783",98.50%,71.50%,72.20%,97.40%,"5,346",35.30%,32.00%,"₹12,98,915",7,₹121.85,"76,326"
Ranadheera Kanteerava,"29,254","28,821","18,558","15,472","14,936","9,553",98.50%,64.40%,83.40%,96.50%,"5,380",36.00%,32.70%,"₹11,72,787",7.8,₹134.18,"68,177"
Cottonpete,"39,767","39,111","29,435","19,108","18,779","8,969",98.40%,75.30%,64.90%,98.30%,"9,808",52.20%,22.60%,"₹12,45,201",8.2,₹139.63,"72,717"
Nagavara,"38,814","38,330","27,287","16,219","15,915","8,943",98.80%,71.20%,59.40%,98.10%,"6,967",43.80%,23.00%,"₹11,67,538",7.7,₹136.36,"65,928"
Dayananda Nagar,"21,104","20,735","15,148","11,917","11,693","7,822",98.30%,73.10%,78.70%,98.10%,"3,870",33.10%,37.10%,"₹8,80,460",5.7,₹106.98,"50,242"
Mudalapalya,"21,083","20,814","12,783","11,427","11,131","7,618",98.70%,61.40%,89.40%,97.40%,"3,509",31.50%,36.10%,"₹9,72,766",7.1,₹124.71,"56,455"
Nayandahalli,"25,536","25,208","16,408","12,324","12,036","7,477",98.70%,65.10%,75.10%,97.70%,"4,555",37.80%,29.30%,"₹10,62,503",7.9,₹140.35,"61,963"
Azad Nagar,"23,366","23,086","16,786","12,203","11,925","7,221",98.80%,72.70%,72.70%,97.70%,"4,701",39.40%,30.90%,"₹8,95,034",7.8,₹135.61,"51,678"
Jai Maruthinagara,"20,301","20,031","13,476","11,420","10,977","7,092",98.70%,67.30%,84.70%,96.10%,"3,879",35.30%,34.90%,"₹8,33,297",7.2,₹124.15,"48,261"
Mallasandra,"21,960","21,722","15,338","10,989","10,611","6,944",98.90%,70.60%,71.70%,96.60%,"3,668",34.60%,31.60%,"₹8,69,098",7.2,₹125.33,"50,442"
Sunkadakatte,"20,916","20,646","13,003","10,903","10,559","6,646",98.70%,63.00%,83.90%,96.80%,"3,908",37.00%,31.80%,"₹8,63,306",6.4,₹114.25,"50,336"
Veera Sindhura Lakshamana,"20,907","20,623","13,149","10,664","10,351","6,643",98.60%,63.80%,81.10%,97.10%,"3,707",35.80%,31.80%,"₹8,22,601",6.4,₹115.23,"47,906"
Venkateshpura,"28,655","28,443","22,232","12,163","12,005","6,486",99.30%,78.20%,54.70%,98.70%,"5,515",45.90%,22.60%,"₹7,63,111",7.5,₹130.05,"42,387"
Hegganahalli,"18,735","18,454","11,969","9,854","9,494","5,889",98.50%,64.90%,82.30%,96.30%,"3,601",37.90%,31.40%,"₹7,72,818",7.1,₹122.83,"45,213"
Kaveripura,"17,367","17,077","11,297","9,194","8,999","5,808",98.30%,66.20%,81.40%,97.90%,"3,189",35.40%,33.40%,"₹7,84,024",8.7,₹145.70,"46,280"
Vrisabhavathi Nagar,"16,670","16,411","10,422","8,931","8,693","5,642",98.50%,63.50%,85.70%,97.30%,"3,048",35.10%,33.90%,"₹7,02,036",6.9,₹120.27,"40,962"
Rajeshwari Nagar,"17,589","17,391","10,976","8,860","8,466","5,234",98.90%,63.10%,80.70%,95.60%,"3,230",38.10%,29.80%,"₹6,36,689",7.7,₹133.15,"36,982"
Muneshwara Nagar,"18,748","18,549","13,681","7,939","7,807","4,147",98.90%,73.80%,58.00%,98.30%,"3,657",46.80%,22.10%,"₹5,27,670",7.4,₹133.38,"29,843"
Jagajivanaram Nagar,"15,539","15,325","11,192","7,883","7,741","3,912",98.60%,73.00%,70.40%,98.20%,"3,828",49.50%,25.20%,"₹5,26,683",9,₹151.77,"30,683"
Lakshmi Devi Nagar,"12,119","11,963","7,690","6,388","6,177","3,784",98.70%,64.30%,83.10%,96.70%,"2,391",38.70%,31.20%,"₹4,46,034",6.8,₹117.41,"25,779"
Chalavadipalya,"13,832","13,692","10,047","6,678","6,564","3,633",99.00%,73.40%,66.50%,98.30%,"2,927",44.60%,26.30%,"₹4,84,100",6.7,₹118.84,"27,960"
S K Garden,"15,449","15,314","11,847","6,258","6,196","3,304",99.10%,77.40%,52.80%,99.00%,"2,890",46.60%,21.40%,"₹4,39,557",8.1,₹151.05,"24,870"
Padarayanapura,"12,367","12,193","8,649","6,012","5,788","2,906",98.60%,70.90%,69.50%,96.30%,"2,878",49.70%,23.50%,"₹4,11,262",9.1,₹156.52,"23,313"
Bapuji Nagar,"10,709","10,590","6,963","5,362","5,280","2,752",98.90%,65.80%,77.00%,98.50%,"2,528",47.90%,25.70%,"₹3,47,480",8.1,₹139.65,"19,935"
Kempapura Agrahara,"9,706","9,541","6,298","4,548","4,466","2,476",98.30%,66.00%,72.20%,98.20%,"1,989",44.50%,25.50%,"₹2,91,135",6.2,₹113.76,"16,660"
Devaraj Urs Nagar,"10,356","10,271","7,151","5,118","5,014","2,193",99.20%,69.60%,71.60%,98.00%,"2,820",56.20%,21.20%,"₹2,77,810",8.8,₹160.84,"15,791"
Devara Jeevanahalli,"5,090","5,027","3,858","1,899","1,860",685,98.80%,76.70%,49.20%,97.90%,"1,175",63.20%,13.50%,"₹94,786",7.4,₹129.83,"5,355"
Bangalore Total,"4,28,95,930","4,21,03,616","3,34,86,399","1,81,76,140","1,77,43,432","1,10,88,828",98.20%,79.50%,54.30%,97.60%,"66,50,751",37.50%,25.90%,"₹1,62,89,21,182",8.4,₹146.90,"9,32,63,552"
