Ward,Searches,Searches which got estimate,Searches for Quotes,Searches which got Quotes,Bookings,Completed Trips,Search-to-estimate Rate,Estimate-to-search for quotes Rate,Quote Acceptance Rate,Quote-to-booking Rate,Cancelled Bookings,Booking Cancellation Rate,Conversion Rate,Drivers' Earnings,Average Distance per Trip (km),Average Fare per Trip,Distance Travelled (km)
Kempapura,"2,80,710","2,77,864","2,13,768","1,42,847","1,39,151","88,205",99.00%,76.90%,66.80%,97.40%,"50,930",36.60%,31.40%,"₹1,36,92,910",8.7,₹152.04,"7,99,710"
Shakambari Nagar,"2,59,402","2,56,153","1,99,136","1,33,472","1,30,079","88,108",98.80%,77.70%,67.00%,97.50%,"41,947",32.30%,34.00%,"₹1,04,54,569",6.7,₹120.87,"5,85,460"
New Thippasandra,"3,39,850","3,35,120","2,83,349","1,32,136","1,29,122","84,484",98.60%,84.60%,46.60%,97.70%,"44,611",34.50%,24.90%,"₹1,24,92,673",8.3,₹150.95,"7,06,587"
BTM Layout,"4,06,432","4,00,591","3,34,093","1,48,287","1,44,070","82,854",98.60%,83.40%,44.40%,97.20%,"61,187",42.50%,20.40%,"₹1,09,39,816",7.6,₹137.99,"6,08,057"
C V Raman Nagar,"3,81,806","3,77,694","3,04,821","1,41,989","1,39,387","82,070",98.90%,80.70%,46.60%,98.20%,"57,289",41.10%,21.50%,"₹1,21,07,342",8,₹144.15,"6,84,517"
N S Palya,"3,19,747","3,14,941","2,60,510","1,29,898","1,26,252","80,871",98.50%,82.70%,49.90%,97.20%,"45,357",35.90%,25.30%,"₹1,07,12,800",7.4,₹134.97,"5,99,884"
Ulsoor,"3,71,004","3,66,632","3,18,421","1,40,017","1,37,476","80,816",98.80%,86.90%,44.00%,98.20%,"56,627",41.20%,21.80%,"₹1,17,55,219",8.2,₹147.64,"6,63,216"
Hudi,"3,86,320","3,81,721","3,09,303","1,42,499","1,39,848","80,216",98.80%,81.00%,46.10%,98.10%,"59,603",42.60%,20.80%,"₹1,46,53,615",10.6,₹186.04,"8,48,662"
AECS Layout,"4,52,366","4,47,170","3,66,969","1,38,441","1,35,751","79,412",98.90%,82.10%,37.70%,98.10%,"56,316",41.50%,17.50%,"₹1,36,18,304",9.7,₹175.19,"7,76,509"
Sarakki,"2,22,863","2,20,208","1,75,240","1,21,639","1,18,457","77,356",98.80%,79.60%,69.40%,97.40%,"41,058",34.70%,34.70%,"₹93,92,828",6.5,₹118.68,"5,17,466"
Dodda Nekkundi,"4,07,682","4,02,661","3,31,743","1,31,088","1,28,254","76,079",98.80%,82.40%,39.50%,97.80%,"52,149",40.70%,18.70%,"₹1,34,71,469",9.7,₹171.65,"7,79,101"
Jnana Bharathi,"1,98,398","1,95,826","1,39,378","1,12,870","1,10,298","75,369",98.70%,71.20%,81.00%,97.70%,"34,916",31.70%,38.00%,"₹99,83,319",7.6,₹132.20,"5,82,939"
Ibluru,"3,64,354","3,59,439","3,09,339","1,24,397","1,21,505","75,191",98.70%,86.10%,40.20%,97.70%,"46,292",38.10%,20.60%,"₹1,18,05,883",8.9,₹159.62,"6,69,344"
Subramanyapura,"2,23,005","2,20,047","1,66,267","1,14,047","1,10,977","75,025",98.70%,75.60%,68.60%,97.30%,"35,941",32.40%,33.60%,"₹1,06,06,296",7.7,₹133.64,"6,19,452"
Banasavadi,"2,45,968","2,43,366","1,96,332","1,14,547","1,11,800","73,726",98.90%,80.70%,58.30%,97.60%,"38,056",34.00%,30.00%,"₹1,07,64,760",7.8,₹139.16,"6,18,753"
Rajarajeshwari Nagar,"1,90,428","1,87,961","1,31,111","1,08,335","1,05,308","73,373",98.70%,69.80%,82.60%,97.20%,"31,930",30.30%,38.50%,"₹1,08,47,640",8,₹137.83,"6,41,580"
Hulimavu,"2,59,237","2,55,661","2,03,911","1,16,173","1,13,116","73,331",98.60%,79.80%,57.00%,97.40%,"39,765",35.10%,28.30%,"₹1,07,78,064",8.4,₹148.37,"6,16,609"
Kalena Agrahara,"3,04,050","2,98,741","2,38,200","1,15,463","1,12,556","72,522",98.30%,79.70%,48.50%,97.50%,"40,018",35.50%,23.80%,"₹1,25,48,068",9.9,₹171.62,"7,36,255"
Hennur,"2,47,744","2,45,102","1,88,305","1,18,208","1,15,797","72,447",98.90%,76.80%,62.80%,98.00%,"43,331",37.40%,29.20%,"₹1,04,06,216",8.4,₹147.83,"5,98,126"
Horamavu,"2,71,554","2,68,707","2,10,710","1,19,115","1,16,437","71,795",99.00%,78.40%,56.50%,97.80%,"44,638",38.30%,26.40%,"₹1,18,85,655",9.6,₹166.04,"6,97,447"
Vishveshwara Puram,"2,39,952","2,37,555","1,80,630","1,14,062","1,11,525","71,331",99.00%,76.00%,63.10%,97.80%,"40,175",36.00%,29.70%,"₹85,97,303",6.3,₹115.98,"4,88,086"
Rupenaagrahara,"3,12,665","3,08,375","2,57,089","1,24,097","1,20,761","68,670",98.60%,83.40%,48.30%,97.30%,"52,069",43.10%,22.00%,"₹1,03,65,942",8.9,₹158.36,"5,92,225"
Pulikeshinagar,"2,20,363","2,18,048","1,80,248","1,05,566","1,03,696","67,853",99.00%,82.70%,58.60%,98.20%,"35,800",34.50%,30.80%,"₹84,15,205",7,₹128.11,"4,64,743"
Mahadevapura,"3,34,739","3,30,957","2,71,704","1,16,155","1,13,999","67,108",98.90%,82.10%,42.80%,98.10%,"46,866",41.10%,20.10%,"₹1,07,64,565",8.8,₹158.03,"6,14,465"
Jogupalya,"2,26,979","2,23,975","1,91,653","1,00,883","98,685","65,052",98.70%,85.60%,52.60%,97.80%,"33,619",34.10%,28.70%,"₹85,65,079",7.4,₹134.97,"4,78,091"
Kalkere,"2,75,182","2,72,034","2,18,355","1,07,395","1,05,207","64,967",98.90%,80.30%,49.20%,98.00%,"40,223",38.20%,23.60%,"₹1,10,06,893",9.1,₹159.37,"6,37,645"
Hemmigepura,"2,04,247","1,99,613","1,38,535","99,158","96,931","64,450",97.70%,69.40%,71.60%,97.80%,"32,466",33.50%,31.60%,"₹96,37,120",8.3,₹144.36,"5,70,629"
Konena Agrahara,"2,73,245","2,69,586","2,29,448","1,03,169","1,01,125","63,865",98.70%,85.10%,45.00%,98.00%,"37,247",36.80%,23.40%,"₹96,57,243",8.2,₹149.96,"5,47,157"
Belathur,"2,77,263","2,73,044","2,06,377","1,04,771","1,02,457","62,873",98.50%,75.60%,50.80%,97.80%,"39,534",38.60%,22.70%,"₹1,14,22,071",10.7,₹186.72,"6,67,694"
Byatarayanapura,"1,88,666","1,86,240","1,40,538","97,345","94,772","62,415",98.70%,75.50%,69.30%,97.40%,"32,354",34.10%,33.10%,"₹1,00,52,037",9.2,₹159.74,"5,92,123"
Konanakunte,"1,79,149","1,77,104","1,34,795","94,288","91,846","59,580",98.90%,76.10%,70.00%,97.40%,"32,238",35.10%,33.30%,"₹77,32,242",6.9,₹123.77,"4,38,384"
Kadu Malleshwara,"1,43,554","1,41,206","1,07,399","84,757","82,742","59,493",98.40%,76.10%,78.90%,97.60%,"23,235",28.10%,41.40%,"₹77,46,338",7.4,₹128.84,"4,51,293"
Sunkenahalli,"1,60,560","1,58,579","1,23,674","90,634","88,517","59,464",98.80%,78.00%,73.30%,97.70%,"29,031",32.80%,37.00%,"₹72,89,402",6.4,₹116.01,"4,17,974"
Babusab Palya,"2,33,398","2,30,791","1,88,131","97,959","95,826","58,900",98.90%,81.50%,52.10%,97.80%,"36,908",38.50%,25.20%,"₹87,74,713",7.8,₹140.25,"5,02,766"
Subhash Nagar,"1,94,944","1,91,846","1,32,800","1,01,360","98,952","58,763",98.40%,69.20%,76.30%,97.60%,"40,157",40.60%,30.10%,"₹93,54,107",8.7,₹151.75,"5,36,228"
Kogilu,"1,89,385","1,86,727","1,26,209","93,054","90,254","58,573",98.60%,67.60%,73.70%,97.00%,"31,687",35.10%,30.90%,"₹1,18,48,453",12.5,₹210.77,"7,16,386"
Radhakrishna Temple Ward,"1,48,374","1,46,739","1,12,682","88,082","85,389","58,070",98.90%,76.80%,78.20%,96.90%,"27,303",32.00%,39.10%,"₹81,48,126",7.5,₹131.76,"4,71,655"
Bilekhalli,"2,31,075","2,27,668","1,88,448","88,937","86,748","54,951",98.50%,82.80%,47.20%,97.50%,"31,779",36.60%,23.80%,"₹79,43,834",8,₹144.16,"4,51,931"
